,MSSV,NamSinh,GioiTinh,NoiSinh,Lopsh,Khoa,Hedt,KhoaHoc,ChuyenNganh2,TinhTrang,DiaChi_TinhTP
7275,4EEDD67CXPvAibaEXe+vuDGG5hNDvy9Ly7ufxmDF,2001.0,1.0, 'Gia Lai', HTTT2019, HTTT, CQUI,14.0, D480104,1.0, 'Tỉnh Gia Lai'
7276,59ED48CDXPvAibaEXe+vuDGG5hNDvy/z7OREiAUS,2001.0,1.0, 'Thành phố Hồ Chí Minh', MTCL2019.1, KTMT, CLC,14.0, D520214,1.0, 'Thành phố Hồ Chí Minh'
7277,4092E51EXPvAibaEXe+vuDGG5hNDv6oEeNU+4Nov,2001.0,0.0, 'Lâm Đồng', CNCL2019.2, KTTT, CLC,14.0, 7480201_CLCN,1.0, 'Đắk Nông'
7278,FCC8BD0CXPvAibaEXe+vuDGG5hNDvxdGuVoi23hX,2001.0,1.0, 'Bình Thuận', KTMT2019, KTMT, CQUI,14.0, D520214,1.0, 'Tỉnh Bình Thuận'
7279,D6D3F154XPvAibaEXe+vuDGG5hNDvxUVKKEgeY6a,2001.0,0.0, 'Tây Ninh', TMCL2019.1, HTTT, CLC,14.0, D52480104,1.0, 'Tây Ninh'
7280,77A9AB10XPvAibaEXe+vuDGG5hNDvw5aaXqTSIpI,2001.0,1.0, 'Tây Ninh', CNCL2019.2, KTTT, CLC,14.0, 7480201_CLCN,1.0, 'Tỉnh Tây Ninh'
7281,B4559377XPvAibaEXe+vuDGG5hNDvzHRS0bleB5n,2001.0,1.0, 'Đồng Nai', MMCL2019.1, MMT&TT, CLC,14.0,7480102,2.0, 'Xã Hố Nai 3'
7282,ED80564AXPvAibaEXe8xN1Ehxu1cb/HafcQUGyCV,2001.0,1.0, 'Thành phố Hồ Chí Minh', KHCL2019.2, KHMT, CLC,14.0, D480101,2.0, 'Quận 7'
7283,553D3D4BXPvAibaEXe8xN1Ehxu1cb9qhnIpu7ZtA,2001.0,0.0, 'An Giang', CNTT2019, KTTT, CQUI,14.0, D480201,1.0, 'Tỉnh An Giang'
7284,07A6BB91XPvAibaEXe8xN1Ehxu1cbwH2ptHdj1dG,2001.0,0.0, 'An Giang', HTCL2019.1, HTTT, CLC,14.0, D480104,1.0, 'Thành phố Long Xuyên'
7285,FB11B48BXPvAibaEXe8xN1Ehxu1cb2BDhDBO4Vcf,2001.0,0.0, 'Bình Phước', CNCL2019.2, KTTT, CLC,14.0, 7480201_CLCN,1.0, 'Huyện Tân Thành'
7286,F3A51EB1XPvAibaEXe8xN1Ehxu1cby2c9MxD3Re6,2001.0,0.0, 'Quảng Trị', KHDL2019, KTTT, CQUI,14.0,7480109,1.0, 'Tỉnh Đắk Lắk'
7287,AFF96EB0XPvAibaEXe8xN1Ehxu1cb3Kl650k0VuH,2000.0,0.0, 'Lâm Đồng', ATCL2019.1, MMT&TT, CLC,14.0, D480299,1.0, 'Phường 22'
